CUSTOMERRECORD|E/S00000726|GM55832348|GM55832348 M057 1|20260401|WIFI SCOTLAND LLP|W Shaw|Taigh Na Siach|AB38 9RN|1|1|Openreach||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PRODUCTCHARGE|Local End B-(M) DF1AL Single Fibre (1Y)||DFGB86624606|Rental||20260401|20260430||IV31 6RF|OR014-1216838992047|Clarus|||1|4537|4537|1|||||||||||||||||9.1.1 Dark Fibre|Dark Fibre 1 Access Link - Single Fibre||||ST MARGARETS CRESCENT||LOSSIEMOUTH|||LTC||LOSSIEMOUTH TE|Ground Floor|Comms Room|Main Building||||||||||ETHDFXXX00009M||||||||||||
PRODUCTCHARGE|Main Link-(M) DF1AL Single Fibre (1Y)||DFGB86624606|Rental||20260401|20260430|||OR014-1216838992047|Clarus|||7826|1|8609|1|||||||||||||||||9.1.1 Dark Fibre|Main link per metre or part thereof - Single Fibre||||||||||||||||||||||||ETHDFXXX00002M||||||||||||
PRODUCTCHARGE|Local End A-(M) DFX Single Fibre (1Y) ST||DFGB86678018|Rental||20260401|20260430||IV30 1AG|OR014-1216869111178|LossieDFX|||1|149|149|1|||||||||||||||||9.1.1 Dark Fibre|DFX Single Fibre|||260|HIGH STREET||ELGIN|MORAYSHIRE||EN||ELGIN TE|1|MUA|Elgin||||||||||ETHDFXXX00001M||||||||||||
PRODUCTCHARGE|Local End B-(M) DFX Single Fibre (1Y) ST||DFGB86678018|Rental||20260401|20260430||IV31 6RD|OR014-1216869111178|LossieDFX|||1|149|149|1|||||||||||||||||9.1.1 Dark Fibre|DFX Single Fibre||||DUNBAR STREET||LOSSIEMOUTH|MORAYSHIRE||LTC||LOSSIEMOUTH TE|Ground|MUA|Lossiemouth||||||||||ETHDFXXX00001M||||||||||||
PRODUCTCHARGE|Main Link-(M) DFX Single Fibre (1Y) ST||DFGB86678018|Rental||20260401|20260430|||OR014-1216869111178|LossieDFX|||8497|1|9347|1|||||||||||||||||9.1.1 Dark Fibre|Main link per metre or part thereof - Single Fibre||||||||||||||||||||||||ETHDFXXX00002M||||||||||||
PRODUCTCHARGE|Local End A-(M) DF1AL Single Fibre (1Y)||DFGB86736826|Rental||20260401|20260430||IV30 1AG|OR014-1216899207272|Coleburn|||1|4537|4537|1|||||||||||||||||9.1.1 Dark Fibre|Dark Fibre 1 Access Link - Single Fibre|||260|HIGH STREET||ELGIN|MORAYSHIRE||EN||ELGIN TE|1|MUA|MUA||||||||||ETHDFXXX00009M||||||||||||
PRODUCTCHARGE|Local End B-(M) DF1AL Single Fibre (1Y)||DFGB86736826|Rental||20260401|20260430||IV30 8SN|OR014-1216899207272|Coleburn|||1|4537|4537|1|||||||||||||||||9.1.1 Dark Fibre|Dark Fibre 1 Access Link - Single Fibre|||||LONGMORN|ELGIN|||EN||ELGIN TE|||Land Adjacent to Birken View, Longmorn||||||||||ETHDFXXX00009M||||||||||||
PRODUCTCHARGE|Main Link-(M) DF1AL Single Fibre (1Y)||DFGB86736826|Rental||20260401|20260430|||OR014-1216899207272|Coleburn|||6754|1|7429|1|||||||||||||||||9.1.1 Dark Fibre|Main link per metre or part thereof - Single Fibre||||||||||||||||||||||||ETHDFXXX00002M||||||||||||
PRODUCTCHARGE|Local End A-(M) DFX Single Fibre (1Y) ST||DFGB86745916|Rental||20260401|20260430||IV30 1AG|OR014-1216903412184|BallindallochDFX|||1|149|149|1|||||||||||||||||9.1.1 Dark Fibre|DFX Single Fibre|||260|HIGH STREET||ELGIN|MORAYSHIRE||EN||ELGIN TE|1|MUA|Exchange MUA||||||||||ETHDFXXX00001M||||||||||||
PRODUCTCHARGE|Local End B-(M) DFX Single Fibre (1Y) ST||DFGB86745916|Rental||20260401|20260430||AB37 9AS|OR014-1216903412184|BallindallochDFX|||1|149|149|1|||||||||||||||||9.1.1 Dark Fibre|DFX Single Fibre|||A95|ABERLOUR TO GRANTOWN ON SPEY ROAD|MEML|ABERLOUR|MORAY||BVD||BALLINDALLOCH TE|Grou|MUA|Exchange MUA||||||||||ETHDFXXX00001M||||||||||||
PRODUCTCHARGE|Main Link-(M) DFX Single Fibre (1Y) ST||DFGB86745916|Rental||20260401|20260430|||OR014-1216903412184|BallindallochDFX|||26612|1|29273|1|||||||||||||||||9.1.1 Dark Fibre|Main link per metre or part thereof - Single Fibre||||||||||||||||||||||||ETHDFXXX00002M||||||||||||
PRODUCTCHARGE|Local End A-(M) DF1AL Single Fibre (1Y)||DFGB86860908|Rental||20260401|20260430||AB37 9AS|OR014-1216966655040|OR014-1216966655040|||1|4537|4537|1|||||||||||||||||9.1.1 Dark Fibre|Dark Fibre 1 Access Link - Single Fibre|||A95|ABERLOUR TO GRANTOWN ON SPEY ROAD|MEML|ABERLOUR|MORAY||BVD||BALLINDALLOCH TE|Ground|MUA|MUA||||||||||ETHDFXXX00009M||||||||||||
PRODUCTCHARGE|Local End B-(M) DF1AL Single Fibre (1Y)||DFGB86860908|Rental||20260401|20260430||AB38 9RX|OR014-1216966655040|OR014-1216966655040|||1|4537|4537|1|||||||||||||||||9.1.1 Dark Fibre|Dark Fibre 1 Access Link - Single Fibre||||CRAIGELLACHIE BIOMASS CHP PLAN|CRAIGELLACHIE|ABERLOUR|||AHU||ABERLOUR TE|Ground|Comms Room|Comms Room||||||||||ETHDFXXX00009M||||||||||||
PRODUCTCHARGE|Main Link-(M) DF1AL Single Fibre (1Y)||DFGB86860908|Rental||20260401|20260430|||OR014-1216966655040|OR014-1216966655040|||13148|1|14463|1|||||||||||||||||9.1.1 Dark Fibre|Main link per metre or part thereof - Single Fibre||||||||||||||||||||||||ETHDFXXX00002M||||||||||||
PRODUCTCHARGE|Local End A-(M) DF2AL Single Fibre (1Y)||DFGB88436516|Rental||20260401|20260430||IV31 6RD|OR014-1216995350698|Alves_DFA|||1|9073|9073|1|||||||||||||||||9.1.1 Dark Fibre|Dark Fibre 2 Access Link - Single Fibre||||DUNBAR STREET||LOSSIEMOUTH|MORAYSHIRE||LTC||LOSSIEMOUTH TE|Ground|MUA|MUA||||||||||ETHDFXXX00010||||||||||||
PRODUCTCHARGE|Local End B-(M) DF2AL Single Fibre (1Y)||DFGB88436516|Rental||20260401|20260430||IV30 8UR|OR014-1216995350698|Alves_DFA|||1|9073|9073|1|||||||||||||||||9.1.1 Dark Fibre|Dark Fibre 2 Access Link - Single Fibre||||STREET MAIN ROAD||ALVES|||AVX||ALVES TE|Basement|Storage|Basement Storage||||||||||ETHDFXXX00010||||||||||||
PRODUCTCHARGE|Main Link-(M) DF2AL Single Fibre (1Y)||DFGB88436516|Rental||20260401|20260430|||OR014-1216995350698|Alves_DFA|||13188|1|14507|1|||||||||||||||||9.1.1 Dark Fibre|Main link per metre or part thereof - Single Fibre||||||||||||||||||||||||ETHDFXXX00002M||||||||||||
PRODUCTCHARGE|Local End A-(M) DFX Single Fibre (1Y) ST||DFGB88491888|Rental||20260401|20260430||IV30 1AG|OR014-1217028057267|OR014-1217028057267|||1|149|149|1|||||||||||||||||9.1.1 Dark Fibre|DFX Single Fibre|||260|HIGH STREET||ELGIN|MORAYSHIRE||EN||ELGIN TE|1|MUA|MUA||||||||||ETHDFXXX00001M||||||||||||
PRODUCTCHARGE|Local End B-(M) DFX Single Fibre (1Y) ST||DFGB88491888|Rental||20260401|20260430||AB54 8EG|OR014-1217028057267|OR014-1217028057267|||1|149|149|1|||||||||||||||||9.1.1 Dark Fibre|DFX Single Fibre||||WEST PARK STREET|HUNTLY|HUNTLY|ABERDEENSHIRE||HPJ/EX||HUNTLY|G|MUA|MUA||||||||||ETHDFXXX00001M||||||||||||
PRODUCTCHARGE|Main Link-(M) DFX Single Fibre (1Y) ST||DFGB88491888|Rental||20260401|20260430|||OR014-1217028057267|OR014-1217028057267|||38924|1|42816|1|||||||||||||||||9.1.1 Dark Fibre|Main link per metre or part thereof - Single Fibre||||||||||||||||||||||||ETHDFXXX00002M||||||||||||
