CUSTOMERRECORD|G/M00005439|GM55832129|GM55832129 M063 1|20260401|WIFI SCOTLAND LLP|W Shaw|Taigh Na Siach|AB38 9RN|1|1|Passives Pole & Duct||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PRODUCTCHARGE|Facility On Pole-MultiEndUser Attachment||PIANOI100059162623|Rental|1|20260401|20260430|||OR014-1220949828280|Pitgaveny||2||57|114|1|||OPIA13336053||||||||||||||6.1.2 Pole Products|Facility on pole for Multi-end-user attachment|AttachmentType|Multi-end-user attachment||||||||||||||||||||||PIAPOLEX00001||||||||||||
PRODUCTCHARGE|Facility In Spine Duct-SingleBore||PIANOI100070381223|Rental|8|20260401|20260430|||OR013-1225702059817|BurgheadPremises||1|94|4|376|1|||OPIA89805173||||||||||||||6.1.1 Duct Products|Facility in Spine duct per metre - single bore |BoreCount|Single Bore||||||||||||||||||||||PIADUCTX00001||||||||||||
PRODUCTCHARGE|Facility Hosting-JointBox||PIANOI100070381223|Rental|3|20260401|20260430|||OR013-1225702059817|BurgheadPremises||19||23|437|1|||OPIA89805217||||||||||||||6.1.3 Ancillary Rentals|Facility hosting (per joint box entry)|Structure Type|JointBox||||||||||||||||||||||PIAANCIR00010||||||||||||
PRODUCTCHARGE|Facility Hosting-JointBox||PIANOI100070381223|Rental|10|20260401|20260430|||OR013-1225702059817|BurgheadPremises||10||23|230|1|||OPIA89805205||||||||||||||6.1.3 Ancillary Rentals|Facility hosting (per joint box entry)|Structure Type|JointBox||||||||||||||||||||||PIAANCIR00010||||||||||||
PRODUCTCHARGE|Facility In Spine Duct-SingleBore||PIANOI100070381223|Rental|7|20260401|20260430|||OR013-1225702059817|BurgheadPremises||1|130|4|520|1|||OPIA89805191||||||||||||||6.1.1 Duct Products|Facility in Spine duct per metre - single bore |BoreCount|Single Bore||||||||||||||||||||||PIADUCTX00001||||||||||||
PRODUCTCHARGE|Facility In Spine Duct-SingleBore||PIANOI100070381223|Rental|3|20260401|20260430|||OR013-1225702059817|BurgheadPremises||1|469|4|1876|1|||OPIA89805215||||||||||||||6.1.1 Duct Products|Facility in Spine duct per metre - single bore |BoreCount|Single Bore||||||||||||||||||||||PIADUCTX00001||||||||||||
PRODUCTCHARGE|Facility On Pole-MultiEndUser Attachment||PIANOI100070381223|Rental|6|20260401|20260430|||OR013-1225702059817|BurgheadPremises||3||57|171|1|||OPIA89805189||||||||||||||6.1.2 Pole Products|Facility on pole for Multi-end-user attachment|AttachmentType|Multi-end-user attachment||||||||||||||||||||||PIAPOLEX00001||||||||||||
PRODUCTCHARGE|Facility On Pole-MultiEndUser Attachment||PIANOI100070381223|Rental|10|20260401|20260430|||OR013-1225702059817|BurgheadPremises||4||57|228|1|||OPIA89805213||||||||||||||6.1.2 Pole Products|Facility on pole for Multi-end-user attachment|AttachmentType|Multi-end-user attachment||||||||||||||||||||||PIAPOLEX00001||||||||||||
PRODUCTCHARGE|Facility Hosting-JointBox||PIANOI100070381223|Rental|8|20260401|20260430|||OR013-1225702059817|BurgheadPremises||6||23|138|1|||OPIA89805175||||||||||||||6.1.3 Ancillary Rentals|Facility hosting (per joint box entry)|Structure Type|JointBox||||||||||||||||||||||PIAANCIR00010||||||||||||
PRODUCTCHARGE|Facility In Spine Duct-2Bores||PIANOI100070381223|Rental|7|20260401|20260430|||OR013-1225702059817|BurgheadPremises||1|2|3|6|1|||OPIA89805193||||||||||||||6.1.1 Duct Products|Facility in Spine duct per metre - 2 bores|BoreCount|2 Bores||||||||||||||||||||||PIADUCTX00002||||||||||||
